Organization,Period End Date,Category,Counterparty Rating,"Amount (US$, millions)"
IDA,2011-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",AAA,2762
IDA,2011-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",BB or below,14
IDA,2011-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",A,3235
IDA,2011-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",AA,6814
IDA,2011-06-30T00:00:00.000,Sovereigns,AA,2149
IDA,2011-06-30T00:00:00.000,Sovereigns,AAA,15087
IDA,2012-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",AA,3379
IDA,2012-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",A,2173
IDA,2012-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",BB or below,81
IDA,2012-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",AAA,3259
IDA,2012-06-30T00:00:00.000,Sovereigns,AA,3507
IDA,2012-06-30T00:00:00.000,Sovereigns,AAA,18223
IDA,2013-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",A,2313
IDA,2013-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",AAA,3969
IDA,2013-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",AA,2732
IDA,2013-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",BBB or below,8
IDA,2013-06-30T00:00:00.000,Sovereigns,AAA,12802
IDA,2013-06-30T00:00:00.000,Sovereigns,A,170
IDA,2013-06-30T00:00:00.000,Sovereigns,AA,8456
IDA,2013-06-30T00:00:00.000,Sovereigns,BBB or below,102
IDA,2014-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",AA,4152
IDA,2014-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",BBB or below,9
IDA,2014-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",A,1192
IDA,2014-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",AAA,4175
IDA,2014-06-30T00:00:00.000,Sovereigns,AA,9762
IDA,2014-06-30T00:00:00.000,Sovereigns,A,507
IDA,2014-06-30T00:00:00.000,Sovereigns,BBB or below,218
IDA,2014-06-30T00:00:00.000,Sovereigns,AAA,12246
IDA,2015-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",A,913
IDA,2015-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",AAA,4628
IDA,2015-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",BBB or below,6
IDA,2015-06-30T00:00:00.000,"Agencies, ABS, Swaps, Corporates and Time Deposites",AA,4153
IDA,2015-06-30T00:00:00.000,Sovereigns,BBB or below,155
IDA,2015-06-30T00:00:00.000,Sovereigns,A,4929
IDA,2015-06-30T00:00:00.000,Sovereigns,AAA,10906
IDA,2015-06-30T00:00:00.000,Sovereigns,AA,6014
